dataset,block,condition,orderPosition,elapsedSec,numInferences,secPerInference,measuredWatts,energyJPerInference,theoreticalMACReduction,stalled,overrunRatio
MIT-BIH,6,baseline,3,60.0115073,779648,7.69725662093663e-05,22.8129333333333,0.00175597002142986,25.5090589822309,0,1.00019178833333
ChestX-ray14,1,pruned,1,60.0510907,18432,0.0032579801812066,21.4956,0.0700322387831445,22.2307692307692,0,1.00085151166667
ChestX-ray14,1,baseline,2,60.0792791,17408,0.0034512453527114,20.1419,0.0695146387697777,22.2307692307692,0,1.00132131833333
ChestX-ray14,1,baseline_ft,3,60.0751679,17280,0.00347657221643519,20.9831333333333,0.0729493783604217,22.2307692307692,0,1.00125279833333
ChestX-ray14,2,pruned,1,60.1086514,19072,0.00315167006082215,20.404,0.0643066759210151,22.2307692307692,0,1.00181085666667
ChestX-ray14,2,baseline_ft,2,60.1586735,17472,0.00344314752174908,19.7766333333333,0.068093866050207,22.2307692307692,0,1.00264455833333
ChestX-ray14,2,baseline,3,60.1008579,17216,0.00349098849326208,20.1817,0.0704540824744673,22.2307692307692,0,1.001680965
ChestX-ray14,3,baseline,1,60.058483,17216,0.00348852712592937,20.1066896551724,0.0701427322747124,22.2307692307692,0,1.00097471666667
ChestX-ray14,3,baseline_ft,2,60.0809954,17408,0.0034513439453125,20.3198666666667,0.0701308487895573,22.2307692307692,0,1.00134992333333
ChestX-ray14,3,pruned,3,60.2337963,18944,0.00317957117293074,20.5243333333333,0.0652585786102882,22.2307692307692,0,1.003896605
ChestX-ray14,4,baseline_ft,1,60.0165324,16960,0.00353871063679245,19.9028666666667,0.0704304859759953,22.2307692307692,0,1.00027554
ChestX-ray14,4,baseline,2,60.0816934,18688,0.00321498787457192,18.8053666666667,0.0604590258102122,22.2307692307692,0,1.00136155666667
ChestX-ray14,4,pruned,3,60.1305146,20224,0.00297322560324367,18.0452,0.0536524506556527,22.2307692307692,0,1.00217524333333
ChestX-ray14,5,pruned,1,60.054678,20352,0.00295079982311321,24.1287333333333,0.0711990620519458,22.2307692307692,0,1.0009113
ChestX-ray14,5,baseline,2,60.0766491,17344,0.00346382893796125,21.2302666666667,0.0735380120406342,22.2307692307692,0,1.001277485
ChestX-ray14,5,baseline_ft,3,60.0942221,16896,0.00355671295572917,20.6352666666667,0.0733937202982595,22.2307692307692,0,1.00157036833333
ChestX-ray14,6,baseline_ft,1,60.0553624,18688,0.00321357889554795,20.8803666666667,0.0671007056513028,22.2307692307692,0,1.00092270666667
ChestX-ray14,6,pruned,2,60.122095,20864,0.00288161881710123,22.1337333333333,0.063780982466034,22.2307692307692,0,1.00203491666667
ChestX-ray14,6,baseline,3,60.0162822,20352,0.0029489132370283,21.8716,0.0644974507549882,22.2307692307692,0,1.00027137
